run_name,architecture,encoder,augmentation_type,epochs,batch_size,lr,best_epoch,best_val_dice_threshold_05,best_val_loss,best_threshold,best_threshold_val_dice,notes
unet_r34,unet,resnet34,noaug,10,8,0.0001,10,0.8406,0.2882,0.4,0.8414,
unet_r50,unet,resnet50,noaug,10,8,0.0001,9,0.841,0.2859,0.4,0.8422,
unet_effb0,unet,efficientnet-b0,noaug,10,8,0.0001,10,0.8491,0.2715,0.6,0.8492,
unet_effb3,unet,efficientnet-b3,noaug,10,8,0.0001,8,0.8477,0.2733,0.6,0.8481,
unet_mbv2,unet,mobilenet_v2,noaug,10,8,0.0001,10,0.847,0.2801,0.4,0.8475,
fpn_r34,fpn,resnet34,noaug,10,8,0.0001,9,0.8378,0.2877,0.6,0.8385,
fpn_r50,fpn,resnet50,noaug,10,8,0.0001,9,0.8429,0.2877,0.6,0.8444,
fpn_effb0,fpn,efficientnet-b0,noaug,10,8,0.0001,10,0.8457,0.2875,0.5,0.8457,
fpn_effb3,fpn,efficientnet-b3,noaug,10,8,0.0001,7,0.8487,0.2727,0.4,0.8497,
fpn_mbv2,fpn,mobilenet_v2,noaug,10,8,0.0001,9,0.8357,0.303,0.5,0.8357,
dlv3p_r50,deeplabv3plus,resnet50,noaug,10,8,0.0001,10,0.8485,0.2756,0.5,0.8485,
dlv3p_effb0,deeplabv3plus,efficientnet-b0,noaug,10,8,0.0001,7,0.8408,0.288,0.5,0.8408,
dlv3p_effb3,deeplabv3plus,efficientnet-b3,noaug,10,8,0.0001,7,0.849,0.2789,0.5,0.849,
dlv3p_mbv2,deeplabv3plus,mobilenet_v2,noaug,10,8,0.0001,9,0.8375,0.2994,0.4,0.8383,